Arc Name,Day,Field,Value
"5Point 1SanOnefre",0,TRAFFIC_CAPACITY,600000
"SanOnefre5Point 3",0,TRAFFIC_CAPACITY,600000
"5Point 35Point 4",0,TRAFFIC_CAPACITY,600000
"5Point 45Point 5",0,TRAFFIC_CAPACITY,600000
"5Point 55Point 6",0,TRAFFIC_CAPACITY,600000
"5Point 65Point 7",0,TRAFFIC_CAPACITY,600000
"5Point 75Intersect5-76",0,TRAFFIC_CAPACITY,600000
"5Intersect5-765Intersect5-78",0,TRAFFIC_CAPACITY,600000
"5Intersect5-7878Point 1",0,TRAFFIC_CAPACITY,600000
"78Point 178Point 2",0,TRAFFIC_CAPACITY,600000
"78Point 278Point 3",0,TRAFFIC_CAPACITY,600000
"78Point 378Point 4",0,TRAFFIC_CAPACITY,600000
"78Point 478Point 5",0,TRAFFIC_CAPACITY,600000
"78Point 578Point 6",0,TRAFFIC_CAPACITY,600000
"78Point 678Intersect78-15",0,TRAFFIC_CAPACITY,600000
"76Point 176Point 2",0,TRAFFIC_CAPACITY,600000
"76Point 276Point 3",0,TRAFFIC_CAPACITY,600000
"76Point 376Point 4",0,TRAFFIC_CAPACITY,600000
"76Point 476Point 5",0,TRAFFIC_CAPACITY,600000
"76Point 576Point 6",0,TRAFFIC_CAPACITY,600000
"78Intersect78-1515Point 1",0,TRAFFIC_CAPACITY,600000
"15Point 115Point 2",0,TRAFFIC_CAPACITY,600000
"15Point 215Point 3",0,TRAFFIC_CAPACITY,600000
"15Point 315Intersect15-76",0,TRAFFIC_CAPACITY,600000
"PS_29_12",0,TRAFFIC_CAPACITY,666000
"PS_29_23",0,TRAFFIC_CAPACITY,666000
"PS_29_34",0,TRAFFIC_CAPACITY,666000
"A_PS_29_12",0,TRAFFIC_CAPACITY,666000
"A_PS_29_23",0,TRAFFIC_CAPACITY,666000
"A_PS_29_34",0,TRAFFIC_CAPACITY,666000
"A_PS_29_45",0,TRAFFIC_CAPACITY,666000
"Atk_12",0,TRAFFIC_CAPACITY,9999999
"Atk_23",0,TRAFFIC_CAPACITY,9999999
"Atk_34",0,TRAFFIC_CAPACITY,9999999
"FrmSOSanOne",0,TRAFFIC_CAPACITY,9999999
"5Intersect5-7676Point 1",0,TRAFFIC_CAPACITY,600000
"76Point 615Intersect15-76",0,TRAFFIC_CAPACITY,600000
"15Intersect15-76FrmSO",0,TRAFFIC_CAPACITY,600000
