Name,Description,Latitude,Longitude,Domain
"5Point 1","",33.4000369,-117.5962573,LAND
"SanOnefre","",33.3822998,-117.5770113,SHORE
"5Point 3","",33.3697436,-117.5533203,LAND
"5Point 4","",33.342951,-117.5116259,LAND
"5Point 5","",33.3107718,-117.4779803,SHORE
"5Point 6","",33.2634937,-117.4314915,LAND
"5Point 7","",33.2230143,-117.3912832,LAND
"5Intersect5-76","",33.2034482,-117.3834446,SHORE
"5Intersect5-78","",33.1773212,-117.351129,LAND
"78Point 1","",33.1822262,-117.3260572,LAND
"78Point 2","",33.1830627,-117.2958361,LAND
"78Point 3","",33.1950906,-117.2498449,LAND
"78Point 4","",33.1720426,-117.2227478,LAND
"78Point 5","",33.1467502,-117.1945953,LAND
"78Point 6","",33.1395636,-117.1465302,LAND
"78Intersect78-15","",33.1272011,-117.1049881,LAND
"76Point 1","",33.2125527,-117.3703766,LAND
"76Point 2","",33.2280622,-117.3209381,LAND
"76Point 3","",33.2495987,-117.2725296,LAND
"76Point 4","",33.2564892,-117.2392273,LAND
"76Point 5","",33.2906468,-117.2265244,LAND
"76Point 6","",33.3156107,-117.1873856,LAND
"15Point 1","",33.1599722,-117.1056747,LAND
"15Point 2","",33.227775,-117.1448135,LAND
"15Point 3","",33.2702687,-117.1575165,LAND
"15Intersect15-76","",33.3313888,-117.1595764,LAND
"Sea","",32.869,-118.371,SEA
"PS_29_1","",33.861,-116.519,LAND
"PS_29_2","",34.002,-116.611,LAND
"PS_29_3","",34.099,-116.442,LAND
"PS_29_4","",34.111,-116.079,LAND
"A_PS_29_2","",33.694,-116.201,LAND
"A_PS_29_3","",33.697,-115.44,LAND
"A_PS_29_4","",34.09,-115.858,LAND
"Atk_2","",34.358,-116.262,LAND
"Atk_3","",34.63,-116.678,LAND
"Atk_4","",34.852,-117.008,LAND
"FrmSO","",33.523,-117.163,LAND
"15-76","",33.386,-117.168,LAND
"Cookie","",33.3387730979656,-117.360514355238,LAND
