Log Node ID,Day,Field,Value
"Beachhead",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"AMMO",59500
"Beachhead",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"AMMO",7500
"Beachhead",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"JP-5",15000
"Beachhead",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"JP-5",25000
"Beachhead",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DIESEL",88800
"Beachhead",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DIESEL",50000
"Beachhead",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",950000
"Beachhead",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",25000
"Beachhead",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",18000
"Beachhead",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",19000
"Beachhead",0,TRANSPORTATION ASSET QTY,"Truck",18
"Beachhead",0,TRANSPORTATION ASSET QTY,"CH-53K",2
"Beachhead",0,TRANSPORTATION ASSET QTY,"LCAC",1
"Beachhead",0,TRANSPORTATION ASSET QTY,"UselessTruck",0
"Beachhead",0,IS OPEN,TRUE
"At Sea",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"AMMO",150000000
"At Sea",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"AMMO",95000
"At Sea",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"JP-5",150000000
"At Sea",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"JP-5",65000
"At Sea",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DIESEL",150000000
"At Sea",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DIESEL",65000
"At Sea",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",250000000
"At Sea",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",45000
"At Sea",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",15000000
"At Sea",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",55000
"At Sea",0,TRANSPORTATION ASSET QTY,"Truck",0
"At Sea",0,TRANSPORTATION ASSET QTY,"CH-53K",8
"At Sea",0,TRANSPORTATION ASSET QTY,"LCAC",6
"At Sea",0,TRANSPORTATION ASSET QTY,"UselessTruck",0
"At Sea",0,IS OPEN,TRUE
"Everglades",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"AMMO",95000
"Everglades",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"AMMO",500
"Everglades",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"JP-5",15000
"Everglades",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"JP-5",15000
"Everglades",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DIESEL",56000
"Everglades",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DIESEL",25000
"Everglades",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",95000
"Everglades",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",15250
"Everglades",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",56100
"Everglades",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",3500
"Everglades",0,TRANSPORTATION ASSET QTY,"Truck",5
"Everglades",0,TRANSPORTATION ASSET QTY,"CH-53K",1
"Everglades",0,TRANSPORTATION ASSET QTY,"LCAC",0
"Everglades",0,TRANSPORTATION ASSET QTY,"UselessTruck",0
"Everglades",0,IS OPEN,TRUE
