Unit ID,Day,Field,Value
"Force Recon",0,LOCATION,26.37025313,-80.12398451
"Force Recon",0,STRENGTH,0.75
"Force Recon",0,POSTURE,ATTACK
"Force Recon",0,CONSUMPTION CLASS,"Generic"
"Force Recon",0,PRIORITIZATION CLASS,"GenericPC"
"Force Recon",0,REQUIRED DAYS OF SUPPLY,2.25
"Force Recon",0,DOMAIN,SHORE
"Force Recon",0,SUPPLYING LOG NODE,"AMMO","Beachhead"
"Force Recon",0,SUPPLY INCREMENT,"AMMO",0
"Force Recon",0,SUPPLYING LOG NODE,"JP-5","Beachhead"
"Force Recon",0,SUPPLY INCREMENT,"JP-5",0
"Force Recon",0,SUPPLYING LOG NODE,"DIESEL","Beachhead"
"Force Recon",0,SUPPLY INCREMENT,"DIESEL",0
"Force Recon",0,SUPPLYING LOG NODE,"WATER","Beachhead"
"Force Recon",0,SUPPLY INCREMENT,"WATER",0
"Force Recon",0,SUPPLYING LOG NODE,"DRY_BULK","Beachhead"
"Force Recon",0,SUPPLY INCREMENT,"DRY_BULK",0
"Force Recon",1,LOCATION,26.43777162,-80.40382428
"Force Recon",2,LOCATION,26.42557981,-80.6132584
"Force Recon",2,SUPPLYING LOG NODE,"AMMO","Everglades"
"Force Recon",2,SUPPLYING LOG NODE,"JP-5","Everglades"
"Force Recon",2,SUPPLYING LOG NODE,"DIESEL","Everglades"
"Force Recon",2,SUPPLYING LOG NODE,"WATER","Everglades"
"Force Recon",2,SUPPLYING LOG NODE,"DRY_BULK","Everglades"
"ANGLICO",0,LOCATION,26.3627306,-80.13631351
"ANGLICO",0,STRENGTH,0.84
"ANGLICO",0,POSTURE,DEFEND
"ANGLICO",0,CONSUMPTION CLASS,"Infantry"
"ANGLICO",0,PRIORITIZATION CLASS,"InfantryPC"
"ANGLICO",0,REQUIRED DAYS OF SUPPLY,1.5
"ANGLICO",0,DOMAIN,LAND
"ANGLICO",0,SUPPLYING LOG NODE,"AMMO","Beachhead"
"ANGLICO",0,SUPPLY INCREMENT,"AMMO",0
"ANGLICO",0,SUPPLYING LOG NODE,"JP-5","Beachhead"
"ANGLICO",0,SUPPLY INCREMENT,"JP-5",0
"ANGLICO",0,SUPPLYING LOG NODE,"DIESEL","Beachhead"
"ANGLICO",0,SUPPLY INCREMENT,"DIESEL",0
"ANGLICO",0,SUPPLYING LOG NODE,"WATER","Beachhead"
"ANGLICO",0,SUPPLY INCREMENT,"WATER",0
"ANGLICO",0,SUPPLYING LOG NODE,"DRY_BULK","Beachhead"
"ANGLICO",0,SUPPLY INCREMENT,"DRY_BULK",0
"Inf Regiment",0,LOCATION,26.26485471,-80.59674761
"Inf Regiment",0,STRENGTH,1
"Inf Regiment",0,POSTURE,ATTACK
"Inf Regiment",0,CONSUMPTION CLASS,"Infantry"
"Inf Regiment",0,PRIORITIZATION CLASS,"InfantryPC"
"Inf Regiment",0,REQUIRED DAYS OF SUPPLY,2.25
"Inf Regiment",0,DOMAIN,LAND
"Inf Regiment",0,SUPPLYING LOG NODE,"AMMO","Everglades"
"Inf Regiment",0,SUPPLY INCREMENT,"AMMO",0
"Inf Regiment",0,SUPPLYING LOG NODE,"JP-5","Everglades"
"Inf Regiment",0,SUPPLY INCREMENT,"JP-5",0
"Inf Regiment",0,SUPPLYING LOG NODE,"DIESEL","Everglades"
"Inf Regiment",0,SUPPLY INCREMENT,"DIESEL",0
"Inf Regiment",0,SUPPLYING LOG NODE,"WATER","Everglades"
"Inf Regiment",0,SUPPLY INCREMENT,"WATER",0
"Inf Regiment",0,SUPPLYING LOG NODE,"DRY_BULK","Everglades"
"Inf Regiment",0,SUPPLY INCREMENT,"DRY_BULK",0
"Inf Regiment",1,LOCATION,26.1730079,-80.62649678
"Inf Regiment",2,LOCATION,26.18000187,-80.8588675
"Inf Regiment",3,LOCATION,26.29321156,-81.03783848
"LAV Co",0,LOCATION,25.71717562,-80.42568992
"LAV Co",0,STRENGTH,1
"LAV Co",0,POSTURE,DEFEND
"LAV Co",0,CONSUMPTION CLASS,"Armour"
"LAV Co",0,PRIORITIZATION CLASS,"InfantryPC"
"LAV Co",0,REQUIRED DAYS OF SUPPLY,2.5
"LAV Co",0,DOMAIN,LAND
"LAV Co",0,SUPPLYING LOG NODE,"AMMO","Everglades"
"LAV Co",0,SUPPLY INCREMENT,"AMMO",0
"LAV Co",0,SUPPLYING LOG NODE,"JP-5","Everglades"
"LAV Co",0,SUPPLY INCREMENT,"JP-5",0
"LAV Co",0,SUPPLYING LOG NODE,"DIESEL","Everglades"
"LAV Co",0,SUPPLY INCREMENT,"DIESEL",0
"LAV Co",0,SUPPLYING LOG NODE,"WATER","Everglades"
"LAV Co",0,SUPPLY INCREMENT,"WATER",0
"LAV Co",0,SUPPLYING LOG NODE,"DRY_BULK","Everglades"
"LAV Co",0,SUPPLY INCREMENT,"DRY_BULK",0
"Tank Bn",0,STRENGTH,0
"Tank Bn",0,POSTURE,MOVE
"Tank Bn",0,CONSUMPTION CLASS,"Armour"
"Tank Bn",0,PRIORITIZATION CLASS,"ArmorPC"
"Tank Bn",0,REQUIRED DAYS OF SUPPLY,0
"Tank Bn",0,DOMAIN,LAND
"Tank Bn",0,SUPPLYING LOG NODE,"AMMO","Beachhead"
"Tank Bn",0,SUPPLY INCREMENT,"AMMO",0
"Tank Bn",0,SUPPLYING LOG NODE,"JP-5","At Sea"
"Tank Bn",0,SUPPLY INCREMENT,"JP-5",0
"Tank Bn",0,SUPPLYING LOG NODE,"DIESEL","At Sea"
"Tank Bn",0,SUPPLY INCREMENT,"DIESEL",0
"Tank Bn",0,SUPPLYING LOG NODE,"WATER","Beachhead"
"Tank Bn",0,SUPPLY INCREMENT,"WATER",0
"Tank Bn",0,SUPPLYING LOG NODE,"DRY_BULK","Beachhead"
"Tank Bn",0,SUPPLY INCREMENT,"DRY_BULK",0
"Arty Bn",0,LOCATION,26.33640174,-80.34590635
"Arty Bn",0,STRENGTH,1
"Arty Bn",0,POSTURE,DEFEND
"Arty Bn",0,CONSUMPTION CLASS,"Infantry"
"Arty Bn",0,PRIORITIZATION CLASS,"InfantryPC"
"Arty Bn",0,REQUIRED DAYS OF SUPPLY,2
"Arty Bn",0,DOMAIN,LAND
"Arty Bn",0,SUPPLYING LOG NODE,"AMMO","Everglades"
"Arty Bn",0,SUPPLY INCREMENT,"AMMO",0
"Arty Bn",0,SUPPLYING LOG NODE,"JP-5","Everglades"
"Arty Bn",0,SUPPLY INCREMENT,"JP-5",0
"Arty Bn",0,SUPPLYING LOG NODE,"DIESEL","Everglades"
"Arty Bn",0,SUPPLY INCREMENT,"DIESEL",0
"Arty Bn",0,SUPPLYING LOG NODE,"WATER","Everglades"
"Arty Bn",0,SUPPLY INCREMENT,"WATER",0
"Arty Bn",0,SUPPLYING LOG NODE,"DRY_BULK","Everglades"
"Arty Bn",0,SUPPLY INCREMENT,"DRY_BULK",0
"Arty Bn",1,LOCATION,26.27753637,-80.45332689
"Arty Bn",2,LOCATION,26.33640174,-80.34590635
"Arty Bn",3,LOCATION,26.09988424,-80.57708342
"Arty Bn",6,LOCATION,26.1701766954316,-80.7681389443585
"Arty Bn",6,PRIORITIZATION CLASS,"ArmorPC"
"Arty Bn",6,REQUIRED DAYS OF SUPPLY,2.5
"Arty Bn",7,LOCATION,26.09988424,-80.57708342
"Arty Bn",7,PRIORITIZATION CLASS,"InfantryPC"
"Arty Bn",7,REQUIRED DAYS OF SUPPLY,2
"AAV Bn(-)",0,STRENGTH,0.5
"AAV Bn(-)",0,POSTURE,MOVE
"AAV Bn(-)",0,CONSUMPTION CLASS,"Armour"
"AAV Bn(-)",0,PRIORITIZATION CLASS,"ArmorPC"
"AAV Bn(-)",0,REQUIRED DAYS OF SUPPLY,2
"AAV Bn(-)",0,DOMAIN,SEA
"AAV Bn(-)",0,SUPPLYING LOG NODE,"AMMO","At Sea"
"AAV Bn(-)",0,SUPPLY INCREMENT,"AMMO",0
"AAV Bn(-)",0,SUPPLYING LOG NODE,"JP-5","At Sea"
"AAV Bn(-)",0,SUPPLY INCREMENT,"JP-5",0
"AAV Bn(-)",0,SUPPLYING LOG NODE,"DIESEL","At Sea"
"AAV Bn(-)",0,SUPPLY INCREMENT,"DIESEL",0
"AAV Bn(-)",0,SUPPLYING LOG NODE,"WATER","At Sea"
"AAV Bn(-)",0,SUPPLY INCREMENT,"WATER",0
"AAV Bn(-)",0,SUPPLYING LOG NODE,"DRY_BULK","At Sea"
"AAV Bn(-)",0,SUPPLY INCREMENT,"DRY_BULK",0
"AAV Bn(-)",1,LOCATION,25.64056748,-81.26647099
"AAV Bn(-)",1,STRENGTH,0.8
"AAV Bn(-)",1,DOMAIN,SHORE
"AAV Bn(-)",2,LOCATION,26.11730112,-80.86457934
"AAV Bn(-)",2,STRENGTH,0.998
"AAV Bn(-)",2,POSTURE,ATTACK
"AAV Bn(-)",2,REQUIRED DAYS OF SUPPLY,2.5556
"AAV Bn(-)",2,DOMAIN,LAND
"AAV Bn(-)",3,LOCATION,26.23051081,-81.03974242
"AAV Bn(-)",3,STRENGTH,0.75
"AAV Bn(-)",3,POSTURE,DEFEND
"AAV Bn(-)",3,CONSUMPTION CLASS,"Infantry"
"CEB Bn(-)",0,LOCATION,25.71717562,-80.53724928
"CEB Bn(-)",0,STRENGTH,0.85
"CEB Bn(-)",0,POSTURE,SYSTEM GENERATED
"CEB Bn(-)",0,CONSUMPTION CLASS,"SYSTEM GENERATED"
"CEB Bn(-)",0,PRIORITIZATION CLASS,"SYSTEM GENERATED"
"CEB Bn(-)",0,REQUIRED DAYS OF SUPPLY,2
"CEB Bn(-)",0,DOMAIN,SHORE
"CEB Bn(-)",0,SUPPLYING LOG NODE,"AMMO","Everglades"
"CEB Bn(-)",0,SUPPLY INCREMENT,"AMMO",0
"CEB Bn(-)",0,SUPPLYING LOG NODE,"JP-5","Beachhead"
"CEB Bn(-)",0,SUPPLY INCREMENT,"JP-5",0
"CEB Bn(-)",0,SUPPLYING LOG NODE,"DIESEL","Everglades"
"CEB Bn(-)",0,SUPPLY INCREMENT,"DIESEL",0
"CEB Bn(-)",0,SUPPLY INCREMENT,"WATER",0
"CEB Bn(-)",0,SUPPLY INCREMENT,"DRY_BULK",0
"CEB Bn(-)",1,STRENGTH,0
