ArcID,Day,IsOpen,TrafficLimit,TrafficFlowed,TrafficSlack,Utilization,RiskScore
"55-ab",0,True,Infinity,245000,Infinity,,0
"55-bc",0,True,Infinity,194200,Infinity,,0
"55-cd",0,True,Infinity,0,Infinity,,0
"55-de",0,True,Infinity,0,Infinity,,0
"55-ef",0,True,Infinity,0,Infinity,,0
"55fg",0,True,Infinity,0,Infinity,,0
"55-gh",0,True,Infinity,0,Infinity,,0
"55-hj",0,True,Infinity,0,Infinity,,0
"55-jk",0,True,Infinity,0,Infinity,,0
"55-kl",0,True,Infinity,0,Infinity,,0
"55-lm",0,True,Infinity,0,Infinity,,0
"55 west of Daegu",0,True,Infinity,0,Infinity,,0
"55 east of Daegu",0,True,Infinity,0,Infinity,,0
"55-no",0,True,325000,0,325000,0,0
"55-op",0,True,Infinity,0,Infinity,,0
"55-pq",0,True,Infinity,0,Infinity,,0
"55-qr",0,True,Infinity,0,Infinity,,0
"55-rs",0,True,Infinity,0,Infinity,,0
"55-st",0,True,Infinity,0,Infinity,,0
"55-tu",0,True,Infinity,0,Infinity,,0
"55-uv",0,True,Infinity,0,Infinity,,0
"55 near Gimhae",0,True,Infinity,0,Infinity,,0
"10-a",0,True,Infinity,0,Infinity,,0
"10-b",0,True,Infinity,0,Infinity,,0
"10-c",0,True,Infinity,0,Infinity,,0
"Andong-55",0,True,Infinity,439200,Infinity,,0
"35 east of Andong",0,True,Infinity,197256,Infinity,,0
"35ab",0,True,Infinity,0,Infinity,,0
"35bc",0,True,Infinity,0,Infinity,,0
"35cd",0,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",0,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",0,True,Infinity,0,Infinity,,0
"20 west Pohang",0,True,Infinity,0,Infinity,,0
"20-bc",0,True,Infinity,0,Infinity,,0
"20-35",0,True,Infinity,0,Infinity,,0
"20-daegu",0,True,Infinity,0,Infinity,,0
"Pohang north",0,True,Infinity,0,Infinity,,0
"Ulsan-1",0,True,Infinity,0,Infinity,,0
"55-1",0,True,Infinity,0,Infinity,,0
"1-ab",0,True,Infinity,0,Infinity,,0
"1-bc",0,True,Infinity,0,Infinity,,0
"1-cd",0,True,Infinity,0,Infinity,,0
"1-de",0,True,Infinity,0,Infinity,,0
"1-ef",0,True,Infinity,0,Infinity,,0
"Yangsan-55",0,True,Infinity,0,Infinity,,0
"Pohang Northwest",0,True,Infinity,0,Infinity,,0
"Busan-Yangsan",0,True,Infinity,0,Infinity,,0
"Ulsan-Busan",0,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",0,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",0,True,Infinity,0,Infinity,,0
"Sea base",0,True,Infinity,0,Infinity,,0
"sea base to sea lane",0,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",0,True,Infinity,0,Infinity,,0
"sea lane ab",0,True,Infinity,0,Infinity,,0
"sea lane bc",0,False,Infinity,0,Infinity,,0
"sea lane into Pohang",0,False,Infinity,0,Infinity,,0
"northern sea lane",0,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",0,False,Infinity,0,Infinity,,0
"Yeongchon north",0,True,Infinity,0,Infinity,,0
"Yeongchon south",0,True,Infinity,0,Infinity,,0
"55-ab",1,True,Infinity,0,Infinity,,0
"55-bc",1,True,Infinity,692800,Infinity,,0
"55-cd",1,True,Infinity,346400,Infinity,,0
"55-de",1,True,Infinity,0,Infinity,,0
"55-ef",1,True,Infinity,0,Infinity,,0
"55fg",1,True,Infinity,0,Infinity,,0
"55-gh",1,True,Infinity,0,Infinity,,0
"55-hj",1,True,Infinity,0,Infinity,,0
"55-jk",1,True,Infinity,0,Infinity,,0
"55-kl",1,True,Infinity,0,Infinity,,0
"55-lm",1,True,Infinity,0,Infinity,,0
"55 west of Daegu",1,True,Infinity,0,Infinity,,0
"55 east of Daegu",1,True,Infinity,0,Infinity,,0
"55-no",1,True,325000,0,325000,0,0
"55-op",1,True,Infinity,0,Infinity,,0
"55-pq",1,True,Infinity,0,Infinity,,0
"55-qr",1,True,Infinity,0,Infinity,,0
"55-rs",1,True,Infinity,0,Infinity,,0
"55-st",1,True,Infinity,0,Infinity,,0
"55-tu",1,True,Infinity,0,Infinity,,0
"55-uv",1,True,Infinity,0,Infinity,,0
"55 near Gimhae",1,True,Infinity,0,Infinity,,0
"10-a",1,True,Infinity,0,Infinity,,0
"10-b",1,True,Infinity,0,Infinity,,0
"10-c",1,True,Infinity,0,Infinity,,0
"Andong-55",1,True,Infinity,692800,Infinity,,0
"35 east of Andong",1,True,Infinity,543566.8,Infinity,,0
"35ab",1,True,Infinity,388232,Infinity,,0
"35bc",1,True,Infinity,0,Infinity,,0
"35cd",1,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",1,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",1,True,Infinity,0,Infinity,,0
"20 west Pohang",1,True,Infinity,0,Infinity,,0
"20-bc",1,True,Infinity,0,Infinity,,0
"20-35",1,True,Infinity,0,Infinity,,0
"20-daegu",1,True,Infinity,0,Infinity,,0
"Pohang north",1,True,Infinity,0,Infinity,,0
"Ulsan-1",1,True,Infinity,0,Infinity,,0
"55-1",1,True,Infinity,0,Infinity,,0
"1-ab",1,True,Infinity,0,Infinity,,0
"1-bc",1,True,Infinity,0,Infinity,,0
"1-cd",1,True,Infinity,0,Infinity,,0
"1-de",1,True,Infinity,0,Infinity,,0
"1-ef",1,True,Infinity,0,Infinity,,0
"Yangsan-55",1,True,Infinity,0,Infinity,,0
"Pohang Northwest",1,True,Infinity,0,Infinity,,0
"Busan-Yangsan",1,True,Infinity,0,Infinity,,0
"Ulsan-Busan",1,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",1,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",1,True,Infinity,0,Infinity,,0
"Sea base",1,True,Infinity,0,Infinity,,0
"sea base to sea lane",1,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",1,True,Infinity,0,Infinity,,0
"sea lane ab",1,True,Infinity,0,Infinity,,0
"sea lane bc",1,False,Infinity,0,Infinity,,0
"sea lane into Pohang",1,False,Infinity,0,Infinity,,0
"northern sea lane",1,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",1,False,Infinity,0,Infinity,,0
"Yeongchon north",1,True,Infinity,0,Infinity,,0
"Yeongchon south",1,True,Infinity,0,Infinity,,0
"55-ab",2,True,Infinity,0,Infinity,,0
"55-bc",2,True,Infinity,692800,Infinity,,0
"55-cd",2,True,Infinity,692800,Infinity,,0
"55-de",2,True,Infinity,692800,Infinity,,0
"55-ef",2,True,Infinity,0,Infinity,,0
"55fg",2,True,Infinity,0,Infinity,,0
"55-gh",2,True,Infinity,0,Infinity,,0
"55-hj",2,True,Infinity,0,Infinity,,0
"55-jk",2,True,Infinity,0,Infinity,,0
"55-kl",2,True,Infinity,0,Infinity,,0
"55-lm",2,True,Infinity,0,Infinity,,0
"55 west of Daegu",2,True,Infinity,0,Infinity,,0
"55 east of Daegu",2,True,Infinity,0,Infinity,,0
"55-no",2,True,325000,0,325000,0,0
"55-op",2,True,Infinity,0,Infinity,,0
"55-pq",2,True,Infinity,0,Infinity,,0
"55-qr",2,True,Infinity,0,Infinity,,0
"55-rs",2,True,Infinity,0,Infinity,,0
"55-st",2,True,Infinity,0,Infinity,,0
"55-tu",2,True,Infinity,0,Infinity,,0
"55-uv",2,True,Infinity,0,Infinity,,0
