TransportDeliveryID,ArcID
-370,"35 east of Andong"
-371,"Andong-55"
-371,"55-ab"
-372,"Andong-55"
-372,"55-ab"
-373,"Andong-55"
-373,"55-bc"
-374,"35 east of Andong"
-375,"Andong-55"
-375,"55-ab"
-376,"Andong-55"
-376,"55-bc"
-377,"35 east of Andong"
-378,"35 east of Andong"
-379,"Andong-55"
-379,"55-ab"
-380,"Andong-55"
-380,"55-bc"
-381,"Andong-55"
-381,"55-bc"
-382,"Andong-55"
-382,"55-bc"
-383,"Andong-55"
-383,"55-bc"
-383,"55-cd"
-384,"35 east of Andong"
-384,"35ab"
-385,"35 east of Andong"
-386,"Andong-55"
-386,"55-bc"
-387,"Andong-55"
-387,"55-bc"
-387,"55-cd"
-388,"35 east of Andong"
-388,"35ab"
-389,"Andong-55"
-389,"55-bc"
-390,"Andong-55"
-390,"55-bc"
-390,"55-cd"
-391,"35 east of Andong"
-391,"35ab"
-392,"35 east of Andong"
-393,"35 east of Andong"
-394,"Andong-55"
-394,"55-bc"
-394,"55-cd"
-394,"55-de"
-395,"Andong-55"
-395,"55-bc"
-395,"55-cd"
-395,"55-de"
-396,"Andong-55"
-396,"55-bc"
-396,"55-cd"
-396,"55-de"
-397,"35 east of Andong"
-397,"35ab"
-398,"35 east of Andong"
-398,"35ab"
-399,"Andong-55"
-399,"55-bc"
-399,"55-cd"
-399,"55-de"
-400,"Andong-55"
-400,"55-bc"
-400,"55-cd"
-400,"55-de"
-401,"35 east of Andong"
-401,"35ab"
-402,"Andong-55"
-402,"55-bc"
-402,"55-cd"
-402,"55-de"
-403,"Andong-55"
-403,"55-bc"
-403,"55-cd"
-403,"55-de"
-404,"35 east of Andong"
-404,"35ab"
-405,"35 east of Andong"
-405,"35ab"
-406,"35 east of Andong"
-406,"35ab"
-407,"Andong-55"
-407,"55-bc"
-407,"55-cd"
-407,"55-de"
-407,"55-ef"
-407,"55fg"
-408,"Andong-55"
-408,"55-bc"
-408,"55-cd"
-408,"55-de"
-408,"55-ef"
-408,"55fg"
-409,"Andong-55"
-409,"55-bc"
-409,"55-cd"
-409,"55-de"
-409,"55-ef"
-409,"55fg"
-410,"35 east of Andong"
-410,"35ab"
-410,"35bc"
-413,"35 east of Andong"
-413,"35ab"
-413,"35bc"
-414,"Andong-55"
-414,"55-bc"
-414,"55-cd"
-414,"55-de"
-414,"55-ef"
-414,"55fg"
-415,"Andong-55"
-415,"55-bc"
-415,"55-cd"
-415,"55-de"
-415,"55-ef"
-415,"55fg"
-416,"35 east of Andong"
-416,"35ab"
-416,"35bc"
-417,"Andong-55"
-417,"55-bc"
-417,"55-cd"
-417,"55-de"
-417,"55-ef"
-417,"55fg"
-419,"35 east of Andong"
-419,"35ab"
-419,"35bc"
-420,"35 east of Andong"
-420,"35ab"
-420,"35bc"
-421,"Andong-55"
-421,"55-bc"
-421,"55-cd"
-421,"55-de"
-421,"55-ef"
-421,"55fg"
-422,"35 east of Andong"
-422,"35ab"
-422,"35bc"
-424,"Andong-55"
-424,"55-bc"
-424,"55-cd"
-424,"55-de"
-424,"55-ef"
-424,"55fg"
-425,"Andong-55"
-425,"55-bc"
-425,"55-cd"
-425,"55-de"
-425,"55-ef"
-425,"55fg"
-426,"Andong-55"
-426,"55-bc"
-426,"55-cd"
-426,"55-de"
-426,"55-ef"
-426,"55fg"
-427,"35 east of Andong"
-427,"35ab"
-427,"35bc"
-430,"35 east of Andong"
-430,"35ab"
-430,"35bc"
-431,"Andong-55"
-431,"55-bc"
-431,"55-cd"
