Day,UnitName,SupplyType,OnHandAmount,StorageCapacity,PpnStorageFull,PpnStorageEmpty,ThroughputLimit,FlowAmount,PpnFlow,PpnFlowSlack,AverageFuelSpend,AverageDistance,AverageTravelTime,OnHandRiskScore,ThroughputRiskScore
0,"ANDONG SUPPLY DEPOT","WATER",9950000,10000000,0.995,0.005,525000,50000,0.0952380952380952,0.904761904761905,0,0,0,0.005,0.0952380952380952
0,"ANDONG SUPPLY DEPOT","DRY_BULK",7864360,8000000,0.983045,0.0169550000000001,440000,135640,0.308272727272727,0.691727272727273,0,0,0,0.0169550000000001,0.308272727272727
0,"ANDONG SUPPLY DEPOT","FUEL",23431336.9569814,24000000,0.976305706540893,0.0236942934591073,1300000,568663.043018573,0.437433110014287,0.562566889985713,0,0,0,0.0236942934591073,0.437433110014287
0,"SEA BASE","WATER",1100000,1100000,1,0,125000,0,0,1,0,0,0,0,0
0,"SEA BASE","DRY_BULK",1000000,1000000,1,0,110000,0,0,1,0,0,0,0,0
0,"SEA BASE","FUEL",2000000,2000000,1,0,230000,0,0,1,0,0,0,0,0
0,"BSA SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
0,"BSA SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
0,"BSA SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ BLUE SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ BLUE SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ BLUE SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ YELLOW SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ YELLOW SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
0,"OBJ YELLOW SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
1,"ANDONG SUPPLY DEPOT","WATER",9689426.25,10000000,0.968942625,0.0310573750000001,525000,260573.75,0.496330952380952,0.503669047619048,0,0,0,0.0310573750000001,0.496330952380952
1,"ANDONG SUPPLY DEPOT","DRY_BULK",7623120,8000000,0.95289,0.04711,440000,241240,0.548272727272727,0.451727272727273,0,0,0,0.04711,0.548272727272727
1,"ANDONG SUPPLY DEPOT","FUEL",22494437.1181071,24000000,0.937268213254461,0.0627317867455394,1300000,936899.838874369,0.720692183749515,0.279307816250485,0,0,0,0.0627317867455394,0.720692183749515
1,"SEA BASE","WATER",1100000,1100000,1,0,125000,0,0,1,0,0,0,0,0
1,"SEA BASE","DRY_BULK",1000000,1000000,1,0,110000,0,0,1,0,0,0,0,0
1,"SEA BASE","FUEL",2000000,2000000,1,0,230000,0,0,1,0,0,0,0,0
1,"BSA SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
1,"BSA SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
1,"BSA SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ BLUE SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ BLUE SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ BLUE SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ YELLOW SUPPLY POINT","WATER",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ YELLOW SUPPLY POINT","DRY_BULK",0,0,,,0,0,,,0,0,0,0,0
1,"OBJ YELLOW SUPPLY POINT","FUEL",0,0,,,0,0,,,0,0,0,0,0
2,"ANDONG SUPPLY DEPOT","WATER",9422911.25,10000000,0.942291125,0.057708875,525000,266515,0.507647619047619,0.492352380952381,0,0,0,0.057708875,0.507647619047619
2,"ANDONG SUPPLY DEPOT","DRY_BULK",7381880,8000000,0.922735,0.077265,440000,241240,0.548272727272727,0.451727272727273,0,0,0,0.077265,0.548272727272727
2,"ANDONG SUPPLY DEPOT","FUEL",21556190.797898,24000000,0.898174616579082,0.101825383420918,1300000,938246.320209079,0.721727938622368,0.278272061377632,0,0,0,0.101825383420918,0.721727938622368
