Day,UnitName,TransportType,QuantityTransport,PoolAvailability,PoolUsage,Utilization,UtilizationSlack,TransportRiskScore
0,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,0,0,1,0
0,"ANDONG SUPPLY DEPOT","Mtruck",5,50,49.4938593587335,0.98987718717467,0.0101228128253302,0.97975437434934
0,"ANDONG SUPPLY DEPOT","Htruck",25,250,65.4003044090243,0.261601217636097,0.738398782363903,0
0,"SEA BASE","CH-53K",8,33.6,0,0,1,0
0,"SEA BASE","LCAC",12,50.4,0,0,1,0
1,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,0,0,1,0
1,"ANDONG SUPPLY DEPOT","Mtruck",5,50,49.8353552050345,0.996707104100691,0.00329289589930937,0.993414208201381
1,"ANDONG SUPPLY DEPOT","Htruck",25,250,154.18779975688,0.61675119902752,0.38324880097248,0.23350239805504
1,"SEA BASE","CH-53K",8,33.6,0,0,1,0
1,"SEA BASE","LCAC",12,50.4,0,0,1,0
2,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,0,0,1,0
2,"ANDONG SUPPLY DEPOT","Mtruck",5,50,49.2787967906385,0.98557593581277,0.0144240641872296,0.971151871625541
2,"ANDONG SUPPLY DEPOT","Htruck",25,250,173.916082950464,0.695664331801857,0.304335668198143,0.391328663603714
2,"SEA BASE","CH-53K",8,33.6,0,0,1,0
2,"SEA BASE","LCAC",12,50.4,0,0,1,0
3,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,0,0,1,0
3,"ANDONG SUPPLY DEPOT","Mtruck",5,50,49.8539027432343,0.997078054864686,0.00292194513531419,0.994156109729372
3,"ANDONG SUPPLY DEPOT","Htruck",25,250,233.454226978221,0.933816907912883,0.0661830920871167,0.867633815825767
3,"SEA BASE","CH-53K",8,33.6,4.30415519351474,0.128099856949843,0.871900143050157,0
3,"SEA BASE","LCAC",12,50.4,0,0,1,0
4,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,0,0,1,0
4,"ANDONG SUPPLY DEPOT","Mtruck",5,50,49.8539027432343,0.997078054864686,0.00292194513531419,0.994156109729372
