Day,PipelineName,FromLogNode,ToUnit,SupplyType,Open,Distance,Throughput,Flowed,Utilization,RiskScore
0,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",False,Infinity,0,0,,1
1,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,Infinity,0,0,,0
2,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,Infinity,0,0,,0
3,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,Infinity,0,0,,0
4,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,58.6617747200886,0,0,,1
5,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,58.6617747200886,0,0,,1
6,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,250000,1,1
7,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,241795.492025883,0.967181968103532,0.967181968103532
8,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,164509.395973745,0.658037583894979,0.658037583894979
9,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,164215.177961506,0.656860711846026,0.656860711846026
10,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,164713.516639072,0.65885406655629,0.65885406655629
11,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,0,0,,1
12,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,0,0,,1
13,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,163994.308406666,0.655977233626664,0.655977233626664
14,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,0,0,,1
15,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,38.3305412628528,0.000153322165051411,0.000153322165051411
16,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,0,0,0
17,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,0,0,0
18,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,0,0,0
19,"JLOTS","SEA BASE","BSA SUPPLY POINT","FUEL",True,20.0129257371493,250000,0,0,0
