RequestID,Day,DeliveredAmount
-2720,0,350000
-2721,0,500000
-2722,0,750000
-2723,0,175000
-2724,0,125000
-2725,0,125000
-2726,0,90000
-2727,0,100000
-2728,0,100000
-2729,0,244800
-2730,0,125000
-2731,0,99258.75
-2732,0,10000000
-2733,0,8000000
-2734,0,24000000
-2735,0,1100000
-2736,0,1000000
-2737,0,2000000
-2738,0,5200
-2739,0,741.25
-2773,3,25000
-2780,3,17580
-2786,3,24960
-2791,3,40
-2792,3,7420
-2811,4,250000
-2812,4,175000
-2813,4,200000
-2947,9,1000000
-2949,9,400000
-2951,9,750000
-3187,17,500000
-3189,17,250000
-3191,17,250000
-3220,18,500000
-3224,18,100000
