"RequestID","Day","SupplyingLogNode","DeliveredAmount","Distance","FuelAmountExpended","SortieDurationPer","FuelTypeExpended","OriginatingUnit","SupplyType"
-1008,17,"OBJ BLUE SUPPLY POINT",92000,48.7329861314689,2988.95648273009,0.354421717319774,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1008,17,"OBJ BLUE SUPPLY POINT",26250,73.9570270211236,295.828108084495,3.23868362709418,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1008,17,"OBJ BLUE SUPPLY POINT",380000,73.9570270211236,2810.3670268027,2.61985855799479,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1008,17,NA,5e+05,0,0,0,NA,"OBJ YELLOW SUPPLY POINT","FUEL"
-1010,17,NA,250000,0,0,0,NA,"OBJ YELLOW SUPPLY POINT","WATER"
-1010,17,"OBJ BLUE SUPPLY POINT",250000,167.059945805681,4677.67848255905,6.96280037847646,"FUEL","OBJ YELLOW SUPPLY POINT","WATER"
-1012,17,"OBJ BLUE SUPPLY POINT",148200,167.059945805681,4343.55859094769,6.96280037847646,"FUEL","OBJ YELLOW SUPPLY POINT","DRY_BULK"
-1012,17,NA,250000,0,0,0,NA,"OBJ YELLOW SUPPLY POINT","DRY_BULK"
-1013,17,"ANDONG SUPPLY DEPOT",712753.156757224,84.7504210574674,6441.03200036752,4.62769668498025,"FUEL","OBJ BLUE SUPPLY POINT","FUEL"
-1013,17,"ANDONG SUPPLY DEPOT",40000,84.7504210574674,339.00168422987,4.48748549399272,"FUEL","OBJ BLUE SUPPLY POINT","FUEL"
-1017,17,"ANDONG SUPPLY DEPOT",182400,84.7504210574674,2712.01347383896,4.62769668498025,"FUEL","OBJ BLUE SUPPLY POINT","DRY_BULK"
-1017,17,"ANDONG SUPPLY DEPOT",204000,65.4168154167723,2965.56229889368,0.475758657576525,"FUEL","OBJ BLUE SUPPLY POINT","DRY_BULK"
-1021,18,"OBJ YELLOW SUPPLY POINT",18400,60.6544630948377,121.308926189675,2.46469931115113,"FUEL","US BDE MECH","FUEL"
-1021,18,"OBJ YELLOW SUPPLY POINT",250000,60.6544630948377,1516.36157737094,1.92925761044054,"FUEL","US BDE MECH","FUEL"
-1022,18,"OBJ YELLOW SUPPLY POINT",253150,62.3504412889715,1745.8123560912,2.63429713056452,"FUEL","ALLIED BDE MECH","FUEL"
-1023,18,"OBJ YELLOW SUPPLY POINT",97476.2632137686,70.0211605482991,840.253926579589,3.39739429098502,"FUEL","ALLIED DIV INF","FUEL"
-1023,18,"OBJ YELLOW SUPPLY POINT",180286.142445032,70.0211605482991,1400.42321096598,3.39739429098502,"FUEL","ALLIED DIV INF","FUEL"
-1025,18,"OBJ YELLOW SUPPLY POINT",69515.4077978717,68.5033182663116,548.026546130493,3.24561006278627,"FUEL","US BDE STRYKER","FUEL"
-1040,18,"OBJ BLUE SUPPLY POINT",470500,167.059945805681,8352.99729028403,6.96280037847646,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1040,18,"OBJ BLUE SUPPLY POINT",26250,73.9570270211236,295.828108084495,3.23868362709418,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1040,18,NA,5e+05,0,0,0,NA,"OBJ YELLOW SUPPLY POINT","FUEL"
-1040,18,"OBJ BLUE SUPPLY POINT",380000,73.9570270211236,2810.3670268027,2.61985855799479,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1043,18,NA,101800,0,0,0,NA,"OBJ YELLOW SUPPLY POINT","DRY_BULK"
-1044,18,"ANDONG SUPPLY DEPOT",40000,84.7504210574674,339.00168422987,4.48748549399272,"FUEL","OBJ BLUE SUPPLY POINT","FUEL"
-1044,18,"ANDONG SUPPLY DEPOT",473366.388691124,84.7504210574674,4237.52105287337,4.62769668498025,"FUEL","OBJ BLUE SUPPLY POINT","FUEL"
-1045,18,"ANDONG SUPPLY DEPOT",250000,84.7504210574674,2373.01178960909,4.62769668498025,"FUEL","OBJ BLUE SUPPLY POINT","WATER"
-1049,18,"ANDONG SUPPLY DEPOT",171000,84.7504210574674,2542.51263172402,4.62769668498025,"FUEL","OBJ BLUE SUPPLY POINT","DRY_BULK"
-1049,18,"ANDONG SUPPLY DEPOT",204000,65.4168154167723,2965.56229889368,0.475758657576525,"FUEL","OBJ BLUE SUPPLY POINT","DRY_BULK"
-1053,19,"OBJ YELLOW SUPPLY POINT",210000,64.9807600671583,1364.59596141032,2.3618873076726,"FUEL","US BDE MECH","FUEL"
-1053,19,"OBJ YELLOW SUPPLY POINT",58400,64.9807600671583,519.846080537266,2.8973290083832,"FUEL","US BDE MECH","FUEL"
-1054,19,"OBJ YELLOW SUPPLY POINT",253150,65.2119942054039,1825.93583775131,2.92045242220776,"FUEL","ALLIED BDE MECH","FUEL"
-1055,19,"OBJ YELLOW SUPPLY POINT",98824.251275806,76.2809037079239,915.370844495086,3.41750848437313,"FUEL","ALLIED DIV INF","FUEL"
-1055,19,"OBJ YELLOW SUPPLY POINT",97802.748724194,76.2809037079239,915.370844495086,3.41750848437313,"FUEL","ALLIED DIV INF","FUEL"
-1058,19,"OBJ YELLOW SUPPLY POINT",150083.274772035,74.9128537047635,1198.60565927622,3.28070348405709,"FUEL","US BDE STRYKER","FUEL"
-1072,19,"OBJ BLUE SUPPLY POINT",380000,73.9570270211236,2810.3670268027,2.61985855799479,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1072,19,"OBJ BLUE SUPPLY POINT",26250,73.9570270211236,295.828108084495,3.23868362709418,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1072,19,"OBJ BLUE SUPPLY POINT",468750,167.059945805681,8352.99729028403,6.96280037847646,"FUEL","OBJ YELLOW SUPPLY POINT","FUEL"
-1075,19,"ANDONG SUPPLY DEPOT",40000,84.7504210574674,339.00168422987,4.48748549399272,"FUEL","OBJ BLUE SUPPLY POINT","FUEL"
