Log Node ID,Day,Field,Value
"ANDONG SUPPLY DEPOT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",10000000
"ANDONG SUPPLY DEPOT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",525000
"ANDONG SUPPLY DEPOT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",8000000
"ANDONG SUPPLY DEPOT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",440000
"ANDONG SUPPLY DEPOT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",24000000
"ANDONG SUPPLY DEPOT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",1300000
"ANDONG SUPPLY DEPOT",0,TRANSPORTATION ASSET QTY,"Ltruck",0
"ANDONG SUPPLY DEPOT",0,TRANSPORTATION ASSET QTY,"CH-53K",2
"ANDONG SUPPLY DEPOT",0,TRANSPORTATION ASSET QTY,"LCAC",0
"ANDONG SUPPLY DEPOT",0,TRANSPORTATION ASSET QTY,"Mtruck",5
"ANDONG SUPPLY DEPOT",0,TRANSPORTATION ASSET QTY,"Htruck",25
"ANDONG SUPPLY DEPOT",0,IS OPEN,TRUE
"ANDONG SUPPLY DEPOT",6,TRANSPORTATION ASSET QTY,"Mtruck",12
"ANDONG SUPPLY DEPOT",9,TRANSPORTATION ASSET QTY,"Mtruck",2
"SEA BASE",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",1100000
"SEA BASE",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",125000
"SEA BASE",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",1000000
"SEA BASE",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",110000
"SEA BASE",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",2000000
"SEA BASE",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",230000
"SEA BASE",0,TRANSPORTATION ASSET QTY,"Ltruck",0
"SEA BASE",0,TRANSPORTATION ASSET QTY,"CH-53K",8
"SEA BASE",0,TRANSPORTATION ASSET QTY,"LCAC",12
"SEA BASE",0,TRANSPORTATION ASSET QTY,"Mtruck",0
"SEA BASE",0,TRANSPORTATION ASSET QTY,"Htruck",0
"SEA BASE",0,IS OPEN,TRUE
"SEA BASE",6,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",2730000
"BSA SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"WATER",0
"BSA SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"WATER",0
"BSA SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"DRY_BULK",0
"BSA SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"DRY_BULK",0
"BSA SUPPLY POINT",0,MAX STORAGE CAPACITY BY SUPPLY TYPE,"FUEL",0
"BSA SUPPLY POINT",0,MAX DAILY DISTRIBUTION BY SUPPLY TYPE,"FUEL",0
"BSA SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Ltruck",0
"BSA SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"CH-53K",0
"BSA SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"LCAC",0
"BSA SUPPLY POINT",0,TRANSPORTATION ASSET QTY,"Mtruck",0
