Name,Description,Type,Icon Filename,IsLogNode
US BDE MECH,,US MECH,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCIZ---H--.png,FALSE
ALLIED BDE MECH,,ALLIED MECH,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCIZ---H--.png,FALSE
ALLIED DIV INF,,ALLIED INF,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCI----I--.png,FALSE
US BDE STRYKER,,US WHEELED,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCAW---H--.png,FALSE
US MEB,,US MARINE,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCIZ---H--.png,FALSE
ALLIED MEB,,ALLIED MARINE,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUCI----H--.png,FALSE
ANDONG SUPPLY DEPOT,,,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUSS-------.png,TRUE
SEA BASE,,,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFSPCA--------.png,TRUE
BSA SUPPLY POINT,,,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUSS-------.png,TRUE
OBJ BLUE SUPPLY POINT,,,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUSS-------.png,TRUE
OBJ YELLOW SUPPLY POINT,,,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFGPUSS-------.png,TRUE
MINESWEEP,,Surface combatant,C:\Users\jbrown\Dropbox\work\E2O Support\LAWST Distribution and supply sim\K demo\graphics\SFSPCM--------.png,FALSE
